NTA,Total Savings,Total Bussiness,Job created,Average Saving
Battery Park City-Lower Manhattan,4229017.17,9,0.0,469890.79666666663
Bushwick South,261404.55,10,10.0,26140.454999999998
Carroll Gardens-Columbia Street-Red Hook,267711.29,11,0.0,24337.39
College Point,120115.61,7,2.0,17159.37285714286
Crown Heights North,36326.69,9,0.0,4036.298888888889
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,599503.4,10,0.0,59950.340000000004
East New York,435897.83999999997,9,15.0,48433.09333333333
East Williamsburg,153896.89,11,0.0,13990.626363636366
Greenpoint,136551.09,14,0.0,9753.649285714286
Hunters Point-Sunnyside-West Maspeth,1794854.92,75,0.0,23931.398933333334
Hunts Point,510198.21,13,12.0,39246.016153846154
Manhattanville,24848.0,9,0.0,2760.8888888888887
Maspeth,59924.549999999996,9,10.0,6658.283333333333
Mott Haven-Port Morris,249815.13,14,10.0,17843.937857142857
Queensbridge-Ravenswood-Long Island City,989292.33,16,0.0,61830.770625
SoHo-TriBeCa-Civic Center-Little Italy,186070.12,5,0.0,37214.024
Springfield Gardens South-Brookville,88788.31,5,0.0,17757.662
Steinway,78590.09,7,20.0,11227.155714285715
Sunset Park West,687214.89,48,0.0,14316.976875
park-cemetery-etc-Brooklyn,214911.29,15,0.0,14327.419333333333
